"filename", "language", "TypeScript JSX", "JSON with Comments", "JSON", "CSS", "TypeScript", "XML", "HTML", "Markdown", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\Home\mycoffee_front\coffee\.idea\coffee.iml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 13
"c:\Users\Home\mycoffee_front\coffee\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Home\mycoffee_front\coffee\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Home\mycoffee_front\coffee\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Home\mycoffee_front\coffee\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 21, 47
"c:\Users\Home\mycoffee_front\coffee\package-lock.json", "JSON", 0, 0, 21276, 0, 0, 0, 0, 0, 0, 0, 1, 21277
"c:\Users\Home\mycoffee_front\coffee\package.json", "JSON", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\Home\mycoffee_front\coffee\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"c:\Users\Home\mycoffee_front\coffee\public\manifest.json", "JSON", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\Home\mycoffee_front\coffee\src\App.css", "CSS", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 7, 72
"c:\Users\Home\mycoffee_front\coffee\src\App.test.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Home\mycoffee_front\coffee\src\App.tsx", "TypeScript JSX", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 182
"c:\Users\Home\mycoffee_front\coffee\src\components\AdminLogin.tsx", "TypeScript JSX", 105, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 126
"c:\Users\Home\mycoffee_front\coffee\src\components\AdminProfile.tsx", "TypeScript JSX", 553, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54, 613
"c:\Users\Home\mycoffee_front\coffee\src\components\City.tsx", "TypeScript JSX", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Home\mycoffee_front\coffee\src\components\Contacts.tsx", "TypeScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 48
"c:\Users\Home\mycoffee_front\coffee\src\components\Futer.tsx", "TypeScript JSX", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 62
"c:\Users\Home\mycoffee_front\coffee\src\components\Hader.tsx", "TypeScript JSX", 266, 0, 0, 0, 0, 0, 0, 0, 0, 8, 20, 294
"c:\Users\Home\mycoffee_front\coffee\src\components\HamburgerMenu.tsx", "TypeScript JSX", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 107
